11055                         189,833333
11093                         188,500000
10998                         183,000000
10111                         182,166667
10742                         178,569048
11056                         177,666667
10465                         175,166667
10486                         174,619048
10968                         173,250000
10524                         167,966667
11089                         164,000000
10148                         163,666667
10995                         160,333333
10540                         159,666667
10938                         159,216667
11183                         157,983333
10842                         157,500000
11096                         157,166667
10997                         157,000000
10567                         154,221429
11249                         154,150000
10211                         152,166667
10837                         151,833333
11188                         151,566667
11228                         150,500000
11107                         149,333333
10883                         147,000000
11169                         140,583333
10099                         140,500000
11251                         139,000000
11200                         134,666667
10640                         132,000000
11114                         129,600000
10366                         127,500000
10516                         127,250000
11090                         125,333333
10483                         124,733333
10921                         122,000000
10878                         119,666667
10391                         119,466667
10468                         119,333333
11219                         118,166667
11234                         117,500000
10522                         116,900000
10579                         116,500000
10639                         112,583333
10020                         112,316667
10163                         112,166667
10452                         111,666667
10546                         111,333333
10791                         111,166667
10833                         110,333333
10784                         110,233333
10131                         109,333333
11211                         104,833333
10328                         104,566667
10832                         103,733333
10612                         103,500000
10585                         102,500000
11157                         102,400000
10755                         102,000000
10986                         100,166667
10888                         99,633333
10477                         99,500000
10398                         99,500000
11248                         95,333333
10688                         94,400000
10124                         94,166667
10790                         92,400000
10880                         91,666667
10827                         87,666667
10319                         87,500000
10487                         87,019048
10472                         86,666667
10583                         86,000000
10102                         86,000000
10027                         83,750000
10978                         83,666667
10561                         83,566667
10513                         82,666667
11053                         81,916667
11102                         81,666667
10627                         80,833333
10890                         80,666667
10568                         79,666667
10680                         78,000000
10902                         77,483333
10785                         76,933333
10964                         76,700000
10327                         75,000000
11147                         73,333333
10973                         71,666667
10103                         70,333333
10340                         69,900000
10373                         68,733333
10166                         67,833333
10855                         67,666667
11007                         67,333333
11184                         66,333333
10469                         66,333333
11212                         66,000000
10476                         65,000000
10650                         64,000000
10726                         63,000000
11242                         61,333333
11026                         60,333333
10730                         60,166667
10661                         58,666667
11217                         58,666667
10453                         58,000000
11155                         56,400000
10317                         55,833333
10251                         55,000000
10759                         54,666667
11241                         54,500000
10462                         54,000000
10799                         54,000000
10418                         53,666667
10151                         53,000000
10984                         52,733333
10380                         52,666667
10977                         51,600000
10607                         49,500000
10448                         49,000000
10631                         48,000000
10474                         48,000000
10778                         48,000000
10009                         47,000000
10622                         46,333333
10149                         44,166667
10937                         44,000000
10213                         43,333333
10980                         43,000000
11018                         42,666667
10884                         42,666667
10445                         42,000000
10987                         42,000000
10132                         41,600000
10098                         41,500000
10920                         41,000000
10787                         40,571429
10341                         40,333333
10618                         40,166667
11198                         40,000000
10649                         39,166667
11045                         39,000000
10843                         37,666667
10519                         37,666667
11115                         35,500000
11051                         35,083333
11044                         34,500000
10434                         34,166667
11052                         34,000000
10954                         34,000000
10642                         33,666667
10571                         33,666667
10662                         33,500000
10782                         32,750000
11172                         32,666667
10535                         32,585714
10592                         32,000000
10330                         32,000000
11011                         31,000000
10077                         30,666667
10498                         30,485714
11106                         30,333333
11204                         30,000000
10611                         29,000000
10045                         28,666667
10564                         28,333333
10032                         27,000000
10771                         26,833333
11095                         26,000000
10738                         26,000000
11087                         25,666667
10812                         25,500000
10090                         25,500000
11159                         25,333333
10128                         24,666667
10359                         24,000000
10364                         24,000000
10076                         24,000000
10810                         23,066667
10665                         23,066667
11080                         23,000000
10703                         22,000000
11236                         21,666667
10552                         21,166667
10924                         21,000000
10164                         20,333333
10862                         19,000000
10489                         19,000000
10788                         19,000000
10739                         19,000000
11103                         18,000000
10141                         18,000000
10096                         18,000000
10369                         16,666667
10846                         16,000000
